id;name;sex
30624;Jonathan Erskine Duncan;M
7388;Yelena Baltabayeva (-Ortina);F
16441;"Paulus ""Paul"" Bunschoten";M
29853;Vladan orevi;M
22064;Brent Douglas Clode;M
15103;Mario Brignoli;M
30859;Michael Drsch;M
30161;ukasz Drzewiski;M
1077;Xavier Affentranger;M
10851;Sylviane Berthod;F
6941;Philomena Bair;F
23710;E. Gary Crawford;M
7645;"Ronald S. ""Ron"" Barak";M
20381;Cheng Wen;M
25113;Georges tienne Louis Damitio;M
5015;Francisco Argem y Sola;M
9749;Dailn Belmonte Torres;F
21587;Ockert Diderich Cilliers;M
25525;Claire Dautherives;F
5998;Aleksander Aurdal;M
1813;Ali Hamed Al-Awasa;M
27174;Sinad Delahunty (-Evans);F
17696;"Daniel Alan ""Dan"" Campbell";M
16818;Josef Buek;M
9910;Naceur Ben Ahmed Ben Messaoud;M
16811;"Margarete ""Margret"" Buscher";F
26735;Manuel De Vecchi;M
8974;Marie-Jose Bazin;F
7828;Karen Louise Bardsley;F
10792;Emilio Berroa;M
20731;Justin Chikwanda;M
15613;James Browne;M
20353;Cheng Chang-Ming;M
19549;"Jonathan Knowlton ""Jon"" Chaffee";M
24252;"Joshua ""Josh"" Culbreath";M
21354;Chu Hui;F
7756;Laurent Barbiri;M
20271;Chen Te-Tung;M
12680;Ercole Boero;M
29272;Julio Domnguez Yebra;M
28001;Pavel Semyonovich Deyev;M
26137;Gillian C. de Greenlaw;F
28144;Adama Diakhat;F
17922;Alberto Canlas;M
26429;Angelo De Martini;M
16385;Katharina Bullin;F
10233;Hadia Bentaleb;F
25834;Fiorella D'Croz Brusatin;F
27588;Ernst Denifl;M
27554;Dendeviin Amgaa;M
7353;"Vesmonis ""Ves"" Balodis";M
23290;Joo Carlos Calvete Pereira da Costa;M
22289;Daniel Cojocaru;M
12382;Kay Bluhm;M
18809;Brett Cash;M
26717;Jos Guilherme de Toledo;M
26074;Wim De Deyne;M
7657;Jzef Baran-Bilewski;M
24118;Tibor Csk;M
